wp_posts,999,post_type,Type,question
wp_posts,999,post_title,Title,Match
wp_posts,999,post_date,Date,"2020-07-24 16:21:11"
wp_posts,999,post_content,Content,"<div class=""vibe_editor_rich_text""><p>Question Statement : Arrange the below options in following order: 4,3,2,1 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;[match]</p>
<ul>
  <li>First Order</li>
  <li>Second Order</li>
  <li>Third order</li>
  <li>Fourth Order</li>
</ul>
<p>[/match]</p></div>"
wp_posts,999,post_author,"Author ID",1
wp_posts,999,post_excerpt,Excerpt,
wp_posts,999,post_status,Status,publish
wp_posts,999,post_name,Slug,match
wp_posts,999,comment_count,"Review/Note/Answer Count",0
wp_postmeta,999,raw,,"rich_text,{""blocks"":[{""key"":""5unpv"",""text"":""Question Statement : Arrange the below options in following order: 4,3,2,1                                                                     [match]"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""362dv"",""text"":""First Order"",""type"":""unordered-list-item"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""9nqm1"",""text"":""Second Order"",""type"":""unordered-list-item"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""4r8m9"",""text"":""Third order"",""type"":""unordered-list-item"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""b6qda"",""text"":""Fourth Order"",""type"":""unordered-list-item"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}},{""key"":""49ggh"",""text"":""[/match]"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
wp_postmeta,999,vibe_question_type,"Question Type",match
wp_postmeta,999,vibe_question_explaination,"Answer Explanation","<div class=""vibe_editor_rich_text""><p>seomthing</p></div>"
wp_postmeta,999,vibe_question_explaination_raw,,"rich_text,{""blocks"":[{""key"":""27g82"",""text"":""seomthing"",""type"":""unstyled"",""depth"":0,""inlineStyleRanges"":[],""entityRanges"":[],""data"":{}}],""entityMap"":{}}"
